n:112 mse_avg:3.77 mse_y:6.76 mse_u:0.71 mse_v:0.85 psnr_avg:42.37 psnr_y:39.83 psnr_u:49.65 psnr_v:48.84 
n:113 mse_avg:2.56 mse_y:4.62 mse_u:0.45 mse_v:0.56 psnr_avg:44.04 psnr_y:41.49 psnr_u:51.58 psnr_v:50.65 
n:114 mse_avg:2.61 mse_y:4.71 mse_u:0.45 mse_v:0.56 psnr_avg:43.97 psnr_y:41.40 psnr_u:51.60 psnr_v:50.65 
n:115 mse_avg:2.79 mse_y:5.06 mse_u:0.46 mse_v:0.56 psnr_avg:43.68 psnr_y:41.09 psnr_u:51.51 psnr_v:50.65 
n:116 mse_avg:2.25 mse_y:4.10 mse_u:0.36 mse_v:0.46 psnr_avg:44.60 psnr_y:42.00 psnr_u:52.54 psnr_v:51.54 
n:117 mse_avg:3.48 mse_y:6.37 mse_u:0.52 mse_v:0.63 psnr_avg:42.72 psnr_y:40.09 psnr_u:50.94 psnr_v:50.10 
n:118 mse_avg:3.22 mse_y:5.85 mse_u:0.53 mse_v:0.65 psnr_avg:43.05 psnr_y:40.46 psnr_u:50.90 psnr_v:50.01 
n:119 mse_avg:3.84 mse_y:7.08 mse_u:0.56 mse_v:0.67 psnr_avg:42.28 psnr_y:39.63 psnr_u:50.66 psnr_v:49.88 
n:120 mse_avg:2.70 mse_y:4.89 mse_u:0.46 mse_v:0.57 psnr_avg:43.81 psnr_y:41.24 psnr_u:51.47 psnr_v:50.61 
n:121 mse_avg:3.47 mse_y:6.27 mse_u:0.60 mse_v:0.71 psnr_avg:42.73 psnr_y:40.16 psnr_u:50.32 psnr_v:49.60 
n:122 mse_avg:2.88 mse_y:5.09 mse_u:0.59 mse_v:0.74 psnr_avg:43.54 psnr_y:41.06 psnr_u:50.44 psnr_v:49.44 
n:123 mse_avg:3.00 mse_y:5.31 mse_u:0.63 mse_v:0.75 psnr_avg:43.35 psnr_y:40.88 psnr_u:50.12 psnr_v:49.36 
n:124 mse_avg:2.27 mse_y:3.98 mse_u:0.51 mse_v:0.62 psnr_avg:44.56 psnr_y:42.13 psnr_u:51.05 psnr_v:50.18 
n:125 mse_avg:3.21 mse_y:5.67 mse_u:0.67 mse_v:0.83 psnr_avg:43.06 psnr_y:40.59 psnr_u:49.84 psnr_v:48.96 
n:126 mse_avg:2.92 mse_y:5.14 mse_u:0.61 mse_v:0.77 psnr_avg:43.48 psnr_y:41.02 psnr_u:50.28 psnr_v:49.26 
n:127 mse_avg:3.43 mse_y:6.12 mse_u:0.65 mse_v:0.83 psnr_avg:42.78 psnr_y:40.27 psnr_u:50.00 psnr_v:48.95 
n:128 mse_avg:2.77 mse_y:4.84 mse_u:0.63 mse_v:0.77 psnr_avg:43.71 psnr_y:41.29 psnr_u:50.13 psnr_v:49.27 
n:129 mse_avg:3.30 mse_y:5.84 mse_u:0.67 mse_v:0.86 psnr_avg:42.94 psnr_y:40.47 psnr_u:49.87 psnr_v:48.80 
n:130 mse_avg:2.97 mse_y:5.18 mse_u:0.67 mse_v:0.86 psnr_avg:43.40 psnr_y:40.99 psnr_u:49.87 psnr_v:48.78 
