n:81 mse_avg:3.86 mse_y:6.69 mse_u:0.95 mse_v:1.12 psnr_avg:42.26 psnr_y:39.88 psnr_u:48.37 psnr_v:47.63 
n:82 mse_avg:4.43 mse_y:7.81 mse_u:0.95 mse_v:1.16 psnr_avg:41.66 psnr_y:39.20 psnr_u:48.38 psnr_v:47.48 
n:83 mse_avg:4.61 mse_y:8.15 mse_u:0.97 mse_v:1.15 psnr_avg:41.50 psnr_y:39.02 psnr_u:48.27 psnr_v:47.51 
n:84 mse_avg:4.47 mse_y:7.89 mse_u:0.96 mse_v:1.14 psnr_avg:41.63 psnr_y:39.16 psnr_u:48.31 psnr_v:47.55 
n:85 mse_avg:4.67 mse_y:8.23 mse_u:1.03 mse_v:1.19 psnr_avg:41.44 psnr_y:38.98 psnr_u:47.99 psnr_v:47.38 
n:86 mse_avg:4.52 mse_y:7.99 mse_u:0.97 mse_v:1.15 psnr_avg:41.58 psnr_y:39.11 psnr_u:48.27 psnr_v:47.52 
n:87 mse_avg:4.80 mse_y:8.49 mse_u:1.02 mse_v:1.19 psnr_avg:41.32 psnr_y:38.84 psnr_u:48.06 psnr_v:47.38 
n:88 mse_avg:4.17 mse_y:7.26 mse_u:1.00 mse_v:1.17 psnr_avg:41.93 psnr_y:39.52 psnr_u:48.12 psnr_v:47.45 
n:89 mse_avg:4.27 mse_y:7.48 mse_u:0.98 mse_v:1.14 psnr_avg:41.82 psnr_y:39.39 psnr_u:48.22 psnr_v:47.56 
n:90 mse_avg:4.61 mse_y:8.10 mse_u:1.03 mse_v:1.22 psnr_avg:41.49 psnr_y:39.05 psnr_u:48.00 psnr_v:47.27 
n:91 mse_avg:4.31 mse_y:7.54 mse_u:0.98 mse_v:1.17 psnr_avg:41.79 psnr_y:39.36 psnr_u:48.22 psnr_v:47.46 
n:92 mse_avg:4.36 mse_y:7.61 mse_u:1.01 mse_v:1.21 psnr_avg:41.74 psnr_y:39.32 psnr_u:48.09 psnr_v:47.32 
n:93 mse_avg:4.41 mse_y:7.73 mse_u:1.01 mse_v:1.19 psnr_avg:41.68 psnr_y:39.25 psnr_u:48.11 psnr_v:47.39 
n:94 mse_avg:4.55 mse_y:7.97 mse_u:1.03 mse_v:1.23 psnr_avg:41.55 psnr_y:39.12 psnr_u:47.99 psnr_v:47.22 
n:95 mse_avg:4.33 mse_y:7.54 mse_u:1.03 mse_v:1.20 psnr_avg:41.77 psnr_y:39.36 psnr_u:47.99 psnr_v:47.33 
n:96 mse_avg:4.35 mse_y:7.53 mse_u:1.06 mse_v:1.26 psnr_avg:41.75 psnr_y:39.36 psnr_u:47.89 psnr_v:47.12 
n:97 mse_avg:4.17 mse_y:7.24 mse_u:1.01 mse_v:1.19 psnr_avg:41.93 psnr_y:39.53 psnr_u:48.07 psnr_v:47.38 
n:98 mse_avg:4.49 mse_y:7.85 mse_u:1.02 mse_v:1.23 psnr_avg:41.61 psnr_y:39.18 psnr_u:48.03 psnr_v:47.23 
n:99 mse_avg:4.17 mse_y:7.27 mse_u:0.98 mse_v:1.18 psnr_avg:41.93 psnr_y:39.52 psnr_u:48.21 psnr_v:47.43 
n:100 mse_avg:4.28 mse_y:7.46 mse_u:1.00 mse_v:1.20 psnr_avg:41.82 psnr_y:39.40 psnr_u:48.14 psnr_v:47.34 
n:101 mse_avg:3.87 mse_y:6.72 mse_u:0.94 mse_v:1.10 psnr_avg:42.26 psnr_y:39.86 psnr_u:48.39 psnr_v:47.73 
