n:65 mse_avg:324.63 mse_y:582.32 mse_u:69.75 mse_v:64.13 psnr_avg:23.02 psnr_y:20.48 psnr_u:29.70 psnr_v:30.06 
n:66 mse_avg:384.91 mse_y:700.30 mse_u:71.22 mse_v:67.83 psnr_avg:22.28 psnr_y:19.68 psnr_u:29.60 psnr_v:29.82 
n:67 mse_avg:408.57 mse_y:745.82 mse_u:71.98 mse_v:70.65 psnr_avg:22.02 psnr_y:19.40 psnr_u:29.56 psnr_v:29.64 
n:68 mse_avg:440.30 mse_y:805.26 mse_u:74.17 mse_v:76.52 psnr_avg:21.69 psnr_y:19.07 psnr_u:29.43 psnr_v:29.29 
n:69 mse_avg:485.19 mse_y:893.71 mse_u:73.97 mse_v:79.38 psnr_avg:21.27 psnr_y:18.62 psnr_u:29.44 psnr_v:29.13 
n:70 mse_avg:450.93 mse_y:828.13 mse_u:72.32 mse_v:75.17 psnr_avg:21.59 psnr_y:18.95 psnr_u:29.54 psnr_v:29.37 
n:71 mse_avg:517.60 mse_y:959.15 mse_u:73.49 mse_v:78.62 psnr_avg:20.99 psnr_y:18.31 psnr_u:29.47 psnr_v:29.18 
n:72 mse_avg:548.69 mse_y:1020.24 mse_u:74.42 mse_v:79.88 psnr_avg:20.74 psnr_y:18.04 psnr_u:29.41 psnr_v:29.11 
n:73 mse_avg:621.74 mse_y:1163.04 mse_u:75.56 mse_v:85.32 psnr_avg:20.19 psnr_y:17.47 psnr_u:29.35 psnr_v:28.82 
n:74 mse_avg:594.02 mse_y:1108.66 mse_u:76.06 mse_v:82.71 psnr_avg:20.39 psnr_y:17.68 psnr_u:29.32 psnr_v:28.96 
n:75 mse_avg:557.14 mse_y:1035.51 mse_u:75.38 mse_v:82.18 psnr_avg:20.67 psnr_y:17.98 psnr_u:29.36 psnr_v:28.98 
n:76 mse_avg:493.77 mse_y:913.12 mse_u:73.47 mse_v:75.37 psnr_avg:21.20 psnr_y:18.53 psnr_u:29.47 psnr_v:29.36 
n:77 mse_avg:572.24 mse_y:1066.60 mse_u:76.39 mse_v:79.37 psnr_avg:20.55 psnr_y:17.85 psnr_u:29.30 psnr_v:29.13 
n:78 mse_avg:540.17 mse_y:1005.20 mse_u:73.57 mse_v:76.73 psnr_avg:20.81 psnr_y:18.11 psnr_u:29.46 psnr_v:29.28 
n:79 mse_avg:484.35 mse_y:898.21 mse_u:69.98 mse_v:71.00 psnr_avg:21.28 psnr_y:18.60 psnr_u:29.68 psnr_v:29.62 
n:80 mse_avg:479.12 mse_y:890.19 mse_u:66.77 mse_v:69.31 psnr_avg:21.33 psnr_y:18.64 psnr_u:29.88 psnr_v:29.72 
n:81 mse_avg:393.69 mse_y:724.21 mse_u:64.46 mse_v:61.86 psnr_avg:22.18 psnr_y:19.53 psnr_u:30.04 psnr_v:30.22 
n:82 mse_avg:538.99 mse_y:1012.62 mse_u:64.74 mse_v:65.98 psnr_avg:20.82 psnr_y:18.08 psnr_u:30.02 psnr_v:29.94 
n:83 mse_avg:625.89 mse_y:1184.72 mse_u:65.82 mse_v:68.29 psnr_avg:20.17 psnr_y:17.39 psnr_u:29.95 psnr_v:29.79 
n:84 mse_avg:868.00 mse_y:1663.98 mse_u:69.82 mse_v:74.19 psnr_avg:18.75 psnr_y:15.92 psnr_u:29.69 psnr_v:29.43 
n:85 mse_avg:965.75 mse_y:1858.16 mse_u:70.61 mse_v:76.05 psnr_avg:18.28 psnr_y:15.44 psnr_u:29.64 psnr_v:29.32 
n:86 mse_avg:984.81 mse_y:1894.68 mse_u:73.89 mse_v:76.00 psnr_avg:18.20 psnr_y:15.36 psnr_u:29.44 psnr_v:29.32 
n:87 mse_avg:959.86 mse_y:1840.81 mse_u:77.30 mse_v:80.54 psnr_avg:18.31 psnr_y:15.48 psnr_u:29.25 psnr_v:29.07 
n:88 mse_avg:691.52 mse_y:1306.27 mse_u:77.80 mse_v:75.73 psnr_avg:19.73 psnr_y:16.97 psnr_u:29.22 psnr_v:29.34 
n:89 mse_avg:614.60 mse_y:1151.67 mse_u:79.32 mse_v:75.75 psnr_avg:20.24 psnr_y:17.52 psnr_u:29.14 psnr_v:29.34 
n:90 mse_avg:771.97 mse_y:1462.86 mse_u:80.74 mse_v:81.43 psnr_avg:19.25 psnr_y:16.48 psnr_u:29.06 psnr_v:29.02 
n:91 mse_avg:810.57 mse_y:1538.84 mse_u:83.52 mse_v:81.11 psnr_avg:19.04 psnr_y:16.26 psnr_u:28.91 psnr_v:29.04 
n:92 mse_avg:777.16 mse_y:1470.59 mse_u:84.19 mse_v:83.25 psnr_avg:19.23 psnr_y:16.46 psnr_u:28.88 psnr_v:28.93 
n:93 mse_avg:736.99 mse_y:1389.42 mse_u:86.65 mse_v:82.49 psnr_avg:19.46 psnr_y:16.70 psnr_u:28.75 psnr_v:28.97 
n:94 mse_avg:580.21 mse_y:1077.09 mse_u:87.08 mse_v:79.60 psnr_avg:20.49 psnr_y:17.81 psnr_u:28.73 psnr_v:29.12 
n:95 mse_avg:572.54 mse_y:1059.75 mse_u:90.88 mse_v:79.76 psnr_avg:20.55 psnr_y:17.88 psnr_u:28.55 psnr_v:29.11 
n:96 mse_avg:698.04 mse_y:1307.86 mse_u:92.00 mse_v:84.45 psnr_avg:19.69 psnr_y:16.97 psnr_u:28.49 psnr_v:28.86 
n:97 mse_avg:688.01 mse_y:1286.25 mse_u:93.95 mse_v:85.60 psnr_avg:19.75 psnr_y:17.04 psnr_u:28.40 psnr_v:28.81 
n:98 mse_avg:666.21 mse_y:1240.47 mse_u:96.77 mse_v:87.14 psnr_avg:19.89 psnr_y:17.19 psnr_u:28.27 psnr_v:28.73 
n:99 mse_avg:686.02 mse_y:1275.59 mse_u:99.36 mse_v:93.54 psnr_avg:19.77 psnr_y:17.07 psnr_u:28.16 psnr_v:28.42 
n:100 mse_avg:607.44 mse_y:1118.35 mse_u:100.76 mse_v:92.32 psnr_avg:20.30 psnr_y:17.65 psnr_u:28.10 psnr_v:28.48 
n:101 mse_avg:581.19 mse_y:1064.20 mse_u:104.12 mse_v:92.25 psnr_avg:20.49 psnr_y:17.86 psnr_u:27.96 psnr_v:28.48 
n:102 mse_avg:675.22 mse_y:1248.82 mse_u:105.75 mse_v:97.50 psnr_avg:19.84 psnr_y:17.17 psnr_u:27.89 psnr_v:28.24 
n:103 mse_avg:586.66 mse_y:1074.31 mse_u:105.46 mse_v:92.58 psnr_avg:20.45 psnr_y:17.82 psnr_u:27.90 psnr_v:28.47 
n:104 mse_avg:504.41 mse_y:913.48 mse_u:101.44 mse_v:89.24 psnr_avg:21.10 psnr_y:18.52 psnr_u:28.07 psnr_v:28.63 
n:105 mse_avg:575.19 mse_y:1055.34 mse_u:102.18 mse_v:87.91 psnr_avg:20.53 psnr_y:17.90 psnr_u:28.04 psnr_v:28.69 
n:106 mse_avg:502.99 mse_y:913.20 mse_u:100.37 mse_v:85.19 psnr_avg:21.12 psnr_y:18.53 psnr_u:28.11 psnr_v:28.83 
n:107 mse_avg:518.08 mse_y:944.48 mse_u:99.03 mse_v:84.34 psnr_avg:20.99 psnr_y:18.38 psnr_u:28.17 psnr_v:28.87 
n:108 mse_avg:483.39 mse_y:877.20 mse_u:96.25 mse_v:82.89 psnr_avg:21.29 psnr_y:18.70 psnr_u:28.30 psnr_v:28.95 
n:109 mse_avg:564.06 mse_y:1036.02 mse_u:98.18 mse_v:86.01 psnr_avg:20.62 psnr_y:17.98 psnr_u:28.21 psnr_v:28.79 
n:110 mse_avg:517.65 mse_y:943.83 mse_u:96.66 mse_v:86.26 psnr_avg:20.99 psnr_y:18.38 psnr_u:28.28 psnr_v:28.77 
n:111 mse_avg:530.96 mse_y:970.37 mse_u:95.77 mse_v:87.33 psnr_avg:20.88 psnr_y:18.26 psnr_u:28.32 psnr_v:28.72 
n:112 mse_avg:478.55 mse_y:868.51 mse_u:94.37 mse_v:82.81 psnr_avg:21.33 psnr_y:18.74 psnr_u:28.38 psnr_v:28.95 
n:113 mse_avg:495.91 mse_y:901.43 mse_u:96.41 mse_v:84.38 psnr_avg:21.18 psnr_y:18.58 psnr_u:28.29 psnr_v:28.87 
n:114 mse_avg:630.07 mse_y:1163.92 mse_u:98.45 mse_v:94.00 psnr_avg:20.14 psnr_y:17.47 psnr_u:28.20 psnr_v:28.40 
n:115 mse_avg:700.36 mse_y:1301.70 mse_u:100.38 mse_v:97.64 psnr_avg:19.68 psnr_y:16.99 psnr_u:28.11 psnr_v:28.23 
n:116 mse_avg:750.43 mse_y:1397.26 mse_u:101.86 mse_v:105.34 psnr_avg:19.38 psnr_y:16.68 psnr_u:28.05 psnr_v:27.90 
n:117 mse_avg:652.63 mse_y:1203.57 mse_u:102.28 mse_v:101.09 psnr_avg:19.98 psnr_y:17.33 psnr_u:28.03 psnr_v:28.08 
n:118 mse_avg:696.92 mse_y:1289.86 mse_u:105.39 mse_v:102.59 psnr_avg:19.70 psnr_y:17.03 psnr_u:27.90 psnr_v:28.02 
n:119 mse_avg:663.21 mse_y:1222.02 mse_u:106.64 mse_v:102.15 psnr_avg:19.91 psnr_y:17.26 psnr_u:27.85 psnr_v:28.04 
n:120 mse_avg:766.54 mse_y:1425.55 mse_u:109.62 mse_v:105.46 psnr_avg:19.29 psnr_y:16.59 psnr_u:27.73 psnr_v:27.90 
n:121 mse_avg:722.07 mse_y:1338.15 mse_u:107.30 mse_v:104.68 psnr_avg:19.55 psnr_y:16.87 psnr_u:27.83 psnr_v:27.93 
n:122 mse_avg:648.35 mse_y:1190.36 mse_u:109.04 mse_v:103.65 psnr_avg:20.01 psnr_y:17.37 psnr_u:27.76 psnr_v:27.98 
n:123 mse_avg:502.92 mse_y:904.02 mse_u:107.22 mse_v:96.43 psnr_avg:21.12 psnr_y:18.57 psnr_u:27.83 psnr_v:28.29 
n:124 mse_avg:525.12 mse_y:947.97 mse_u:107.51 mse_v:97.03 psnr_avg:20.93 psnr_y:18.36 psnr_u:27.82 psnr_v:28.26 
n:125 mse_avg:525.59 mse_y:950.06 mse_u:105.06 mse_v:97.16 psnr_avg:20.92 psnr_y:18.35 psnr_u:27.92 psnr_v:28.26 
n:126 mse_avg:578.59 mse_y:1055.64 mse_u:105.94 mse_v:97.13 psnr_avg:20.51 psnr_y:17.90 psnr_u:27.88 psnr_v:28.26 
n:127 mse_avg:591.40 mse_y:1089.14 mse_u:103.96 mse_v:83.37 psnr_avg:20.41 psnr_y:17.76 psnr_u:27.96 psnr_v:28.92 
n:128 mse_avg:636.33 mse_y:1183.93 mse_u:103.39 mse_v:74.08 psnr_avg:20.09 psnr_y:17.40 psnr_u:27.99 psnr_v:29.43 
n:129 mse_avg:665.93 mse_y:1244.22 mse_u:103.12 mse_v:72.18 psnr_avg:19.90 psnr_y:17.18 psnr_u:28.00 psnr_v:29.55 
n:130 mse_avg:490.88 mse_y:893.15 mse_u:102.25 mse_v:74.99 psnr_avg:21.22 psnr_y:18.62 psnr_u:28.03 psnr_v:29.38 
n:131 mse_avg:447.32 mse_y:803.12 mse_u:102.82 mse_v:80.21 psnr_avg:21.62 psnr_y:19.08 psnr_u:28.01 psnr_v:29.09 
n:132 mse_avg:467.50 mse_y:842.79 mse_u:104.36 mse_v:80.06 psnr_avg:21.43 psnr_y:18.87 psnr_u:27.95 psnr_v:29.10 
n:133 mse_avg:628.86 mse_y:1165.66 mse_u:103.41 mse_v:80.70 psnr_avg:20.15 psnr_y:17.47 psnr_u:27.99 psnr_v:29.06 
n:134 mse_avg:657.06 mse_y:1222.10 mse_u:105.59 mse_v:78.44 psnr_avg:19.95 psnr_y:17.26 psnr_u:27.89 psnr_v:29.19 
n:135 mse_avg:681.80 mse_y:1268.48 mse_u:111.75 mse_v:78.49 psnr_avg:19.79 psnr_y:17.10 psnr_u:27.65 psnr_v:29.18 
n:136 mse_avg:794.60 mse_y:1489.47 mse_u:116.53 mse_v:82.92 psnr_avg:19.13 psnr_y:16.40 psnr_u:27.47 psnr_v:28.94 
n:137 mse_avg:671.99 mse_y:1237.91 mse_u:123.13 mse_v:89.00 psnr_avg:19.86 psnr_y:17.20 psnr_u:27.23 psnr_v:28.64 
n:138 mse_avg:528.51 mse_y:943.33 mse_u:128.21 mse_v:99.18 psnr_avg:20.90 psnr_y:18.38 psnr_u:27.05 psnr_v:28.17 
n:139 mse_avg:763.56 mse_y:1411.39 mse_u:134.51 mse_v:96.96 psnr_avg:19.30 psnr_y:16.63 psnr_u:26.84 psnr_v:28.26 
