025-04-03 09:45:33,397 - app.ui.tabs.options_tab - INFO - Populated VMAF model dropdown with 3 models
2025-04-03 09:51:26,856 - app.vmaf_analyzer - INFO - Command: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\ffmpeg_bin\ffmpeg.exe -hide_banner -i C:/Apps/VMAF_2app_approach/VMAF/VB01-vmaf-app/tests/test_results/Test_01_20250403_094819/Dance01_capture_094819_aligned.mp4 -i C:/Apps/VMAF_2app_approach/VMAF/VB01-vmaf-app/tests/test_results/Test_01_20250403_094819/Dance01_094819_aligned.mp4 -lavfi libvmaf=log_path=Test_01_20250403_095126_vmaf.json:log_fmt=json -f null -
2025-04-03 09:51:43,607 - app.vmaf_analyzer - INFO - Basic VMAF command succeeded!
2025-04-03 09:51:43,607 - app.vmaf_analyzer - INFO - Running PSNR analysis...
2025-04-03 09:51:43,607 - app.vmaf_analyzer - INFO - PSNR command: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\ffmpeg_bin\ffmpeg.exe -hide_banner -i C:/Apps/VMAF_2app_approach/VMAF/VB01-vmaf-app/tests/test_results/Test_01_20250403_094819/Dance01_capture_094819_aligned.mp4 -i C:/Apps/VMAF_2app_approach/VMAF/VB01-vmaf-app/tests/test_results/Test_01_20250403_094819/Dance01_094819_aligned.mp4 -lavfi psnr=stats_file=Test_01_20250403_095126_psnr.txt -f null -
2025-04-03 09:51:44,453 - app.vmaf_analyzer - INFO - Running SSIM analysis...
2025-04-03 09:51:44,454 - app.vmaf_analyzer - INFO - SSIM command: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\ffmpeg_bin\ffmpeg.exe -hide_banner -i C:/Apps/VMAF_2app_approach/VMAF/VB01-vmaf-app/tests/test_results/Test_01_20250403_094819/Dance01_capture_094819_aligned.mp4 -i C:/Apps/VMAF_2app_approach/VMAF/VB01-vmaf-app/tests/test_results/Test_01_20250403_094819/Dance01_094819_aligned.mp4 -lavfi ssim=stats_file=Test_01_20250403_095126_ssim.txt -f null -
2025-04-03 09:51:45,343 - app.vmaf_analyzer - INFO - Parsed SSIM from separate file: 0.983505
2025-04-03 09:51:45,344 - app.vmaf_analyzer - INFO - VMAF Score: 64.264635
2025-04-03 09:51:45,344 - app.vmaf_analyzer - INFO - PSNR Score: None
2025-04-03 09:51:45,344 - app.vmaf_analyzer - INFO - SSIM Score: 0.983505
2025-04-03 09:51:45,345 - app.vmaf_analyzer - INFO - Keeping primary capture file: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\tests\test_results\Test_01_20250403_094819\Dance01_capture_094819_aligned.mp4
2025-04-03 09:51:45,345 - app.vmaf_analyzer - INFO - Set test name to: Test_01
2025-04-03 09:51:45,346 - app.vmaf_analyzer - INFO - Set test name to: Test_01
2025-04-03 09:51:45,347 - app.vmaf_analyzer - INFO - VMAF Reference: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\tests\test_results\Test_01_20250403_094819\Dance01_094819_aligned.mp4   
2025-04-03 09:51:45,347 - app.vmaf_analyzer - INFO - VMAF Distorted: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\tests\test_results\Test_01_20250403_094819\Dance01_capture_094819_aligned.mp4
2025-04-03 09:51:45,347 - app.vmaf_analyzer - INFO - Using existing test directory: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\tests\test_results\Test_01_20250403_094819
2025-04-03 09:51:45,347 - app.utils - INFO - Root directory determined to be: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app
2025-04-03 09:51:45,348 - app.utils - INFO - Using FFmpeg bin directory: C:\Apps\VMAF_2app_approach\VMAF\VB01-vmaf-app\ffmpeg_bin
